"","value","Class"
"193",0.666666666666667,"2432Z"
"194",0.555555555555555,"2433Z"
"195",0.380952380952381,"2441Z"
"196",0.25,"2442Z"
"197",0.125,"2443Z"
"198",0.5,"2444Z"
"199",0.258064516129032,"2445Z"
"200",0.8,"2446Z"
"201",0.5,"2451Z"
"202",0.111111111111111,"2452Z"
"203",0.526315789473684,"2453Z"
"204",0.711111111111111,"2454Z"
"205",0.692759295499021,"2511Z"
"206",0.602587800369686,"2512Z"
"207",0.48,"2521Z"
"208",0.391304347826087,"2529Z"
"209",0.0740740740740741,"2530Z"
"210",0.592592592592593,"2540Z"
"211",0.868397493285586,"2550A"
"212",0.626334519572954,"2550B"
"213",0.693602693602693,"2561Z"
"214",0.75,"2562A"
"215",0.76843363889996,"2562B"
"216",0.906187624750499,"2571Z"
"217",0.606060606060606,"2572Z"
"218",0.496551724137931,"2573A"
"219",0.479041916167665,"2573B"
"220",NA,"2591Z"
"221",0.526315789473684,"2592Z"
"222",0.630630630630631,"2593Z"
"223",0.285714285714286,"2594Z"
"224",0.594594594594595,"2599A"
"225",0.642156862745098,"2599B"
"226",0.430622009569378,"2611Z"
"227",0.590909090909091,"2612Z"
"228",0.520547945205479,"2620Z"
"229",0.41025641025641,"2630Z"
"230",0.599326599326599,"2640Z"
"231",0.416666666666667,"2651A"
"232",0.473186119873817,"2651B"
"233",0.7,"2652Z"
"234",0.444444444444444,"2660Z"
"235",0.373333333333333,"2670Z"
"236",0.166666666666667,"2680Z"
"237",0.5,"2711Z"
"238",0.588957055214724,"2712Z"
"239",0.490566037735849,"2720Z"
"240",0.285714285714286,"2731Z"
"241",0.571428571428571,"2732Z"
"242",0.428571428571428,"2733Z"
"243",0.80840543881335,"2740Z"
"244",0.478260869565217,"2751Z"
"245",0.610169491525424,"2752Z"
"246",0.504347826086956,"2790Z"
"247",0.372093023255814,"2811Z"
"248",0.706586826347305,"2812Z"
"249",0.391304347826087,"2813Z"
"250",0.342857142857143,"2814Z"
"251",0.333333333333333,"2815Z"
"252",0.444444444444444,"2821Z"
"253",0.535885167464115,"2822Z"
"254",0.352941176470588,"2823Z"
"255",NA,"2824Z"
"256",0.41044776119403,"2825Z"
"257",0.37037037037037,"2829A"
"258",0.362694300518135,"2829B"
"259",0.568306010928962,"2830Z"
"260",0.555555555555556,"2841Z"
"261",0.40625,"2849Z"
"262",NA,"2891Z"
"263",0.571428571428572,"2892Z"
"264",0.545454545454546,"2893Z"
"265",0.363636363636364,"2894Z"
"266",0.666666666666667,"2895Z"
"267",0.285714285714286,"2896Z"
"268",0.4,"2899A"
"269",0.404833836858006,"2899B"
"270",0.562874251497006,"2910Z"
"271",0.719836400817996,"2920Z"
"272",0.558558558558559,"2931Z"
"273",0.541484716157205,"2932Z"
"274",0.594059405940594,"3011Z"
"275",0.620689655172414,"3012Z"
"276",0.428571428571429,"3020Z"
"277",0.555555555555556,"3030Z"
"278",0.666666666666667,"3040Z"
"279",0.613636363636364,"3091Z"
"280",0.695121951219512,"3092Z"
"281",0.193548387096774,"3099Z"
"282",0.368852459016393,"3101Z"
"283",0.633093525179856,"3102Z"
"284",0.644067796610169,"3103Z"
"285",0.51985559566787,"3109A"
"286",0.839556962025316,"3109B"
"287",0.739202657807309,"3212Z"
"288",0.943697478991597,"3213Z"
"289",0.883950617283951,"3220Z"
"290",0.665441176470588,"3230Z"
"291",0.673400673400673,"3240Z"
"292",0.903127383676583,"3250A"
"293",0.633165829145729,"3250B"
"294",0.5,"3291Z"
"295",0.696275518154901,"3299Z"
"296",0.487804878048781,"3311Z"
"297",0.711880711880712,"3312Z"
"298",0.377510040160643,"3313Z"
"299",0.508474576271186,"3314Z"
"300",0.834117647058824,"3315Z"
"301",0.786206896551724,"3316Z"
"302",0.156862745098039,"3317Z"
"303",0.393351800554017,"3319Z"
"304",0.849758787043418,"3320A"
"305",0.504103165298945,"3320B"
"306",0.554744525547445,"3320C"
"307",0.477722772277228,"3320D"
"308",0.981793423441598,"3511Z"
"309",0.888888888888889,"3512Z"
"310",0.873015873015873,"3513Z"
"311",0.724137931034483,"3514Z"
"312",0.644776119402985,"3521Z"
"313",0.804347826086957,"3522Z"
"314",0.476190476190476,"3523Z"
"315",0.837455830388693,"3530Z"
"316",0.872,"3600Z"
"317",0.755020080321285,"3700Z"
"318",0.749376558603491,"3811Z"
"319",0.545454545454545,"3812Z"
"320",0.669796557120501,"3821Z"
"321",0.595238095238095,"3822Z"
"322",0.677290836653386,"3831Z"
"323",0.82655921513665,"3832Z"
"324",0.780684104627766,"3900Z"
"325",0.546840958605664,"4110A"
"326",0.608695652173913,"4110B"
"327",0.429210134128167,"4110C"
"328",0.862880886426593,"4110D"
"329",0.794956867949569,"4120A"
"330",0.483303411131059,"4120B"
"331",0.775079197465681,"4211Z"
"332",0.8,"4212Z"
"333",0.833333333333333,"4213A"
"334",0.785714285714286,"4213B"
"335",0.559610705596107,"4221Z"
"336",0.623983739837398,"4222Z"
"337",0.777777777777778,"4291Z"
"338",0.639296187683284,"4299Z"
"339",0.814874696847211,"4311Z"
"340",0.900796178343949,"4312A"
"341",0.257936507936508,"4312B"
"342",0.701107011070111,"4313Z"
"343",0.933370600503107,"4321A"
"344",0.468085106382979,"4321B"
