"","value","Class","N","N_cumulative","cumulative_pct","Group"
"90",0.945765747835606,"1071C",4989,1752929,0.812807452350537,"Catégories représentant 20% des données"
"91",0.934758269720102,"4391B",4875,1757804,0.815067918307919,"Catégories représentant 20% des données"
"92",0.846259655062956,"5911A",4717,1762521,0.817255121984017,"Catégories représentant 20% des données"
"93",0.854282536151279,"5510Z",4516,1767037,0.819349124909871,"Catégories représentant 20% des données"
"94",0.848545414168332,"9312Z",4515,1771552,0.821442664150401,"Catégories représentant 20% des données"
"95",0.802443522360535,"9319Z",4410,1775962,0.823487516431849,"Catégories représentant 20% des données"
"96",0.977197931358721,"0113Z",4260,1780222,0.825462815914608,"Catégories représentant 20% des données"
"97",0.766904560299988,"4339Z",4253,1784475,0.827434869600095,"Catégories représentant 20% des données"
"98",0.863428500803362,"4776Z",4013,1788488,0.82929563880768,"Catégories représentant 20% des données"
"99",0.755420412480169,"8899B",3899,1792387,0.831103547888261,"Catégories représentant 20% des données"
"100",0.838288993218571,"4332B",3871,1796258,0.832898473779754,"Catégories représentant 20% des données"
"101",0.739331340038054,"1813Z",3864,1800122,0.834690153873975,"Catégories représentant 20% des données"
"102",0.961028838659392,"8891A",3860,1803982,0.836479979226897,"Catégories représentant 20% des données"
"103",0.77793981174599,"4779Z",3838,1807820,0.838259603502679,"Catégories représentant 20% des données"
"104",0.596681557115507,"6832A",3782,1811602,0.840013261400283,"Catégories représentant 20% des données"
"105",0.890078328981723,"7711A",3749,1815351,0.841751617682176,"Catégories représentant 20% des données"
"106",0.885448067963826,"6619A",3729,1819080,0.843480700257577,"Catégories représentant 20% des données"
"107",0.974286521616276,"0210Z",3575,1822655,0.845138375292991,"Catégories représentant 20% des données"
"108",0.913944112331433,"8010Z",3574,1826229,0.846795586643081,"Catégories représentant 20% des données"
"109",0.811242603550296,"8122Z",3498,1829727,0.848417557908501,"Catégories représentant 20% des données"
"110",0.793192523932533,"9002Z",3456,1833183,0.850020054390289,"Catégories représentant 20% des données"
"111",0.872418338948294,"8810A",3426,1836609,0.851608640312338,"Catégories représentant 20% des données"
"112",0.631662436548223,"4719B",3319,1839928,0.853147611904657,"Catégories représentant 20% des données"
"113",0.777832431546155,"5911B",3167,1843095,0.854616103327638,"Catégories représentant 20% des données"
"114",0.839556962025316,"3109B",3163,1846258,0.85608274000932,"Catégories représentant 20% des données"
"115",0.696275518154901,"3299Z",3136,1849394,0.857536857187238,"Catégories représentant 20% des données"
"116",0.767667436489607,"4775Z",3134,1852528,0.858990046994508,"Catégories représentant 20% des données"
"117",0.835762876579203,"4532Z",3102,1855630,0.86042839887139,"Catégories représentant 20% des données"
"118",0.970559689420899,"7820Z",3080,1858710,0.861856549671131,"Catégories représentant 20% des données"
"119",0.966981914717106,"8542Z",3028,1861738,0.863260588833994,"Catégories représentant 20% des données"
"120",0.866246266179887,"9511Z",3016,1864754,0.864659063772961,"Catégories représentant 20% des données"
